path,line_count,purpose,exports,imports_internal,imports_external,entry_points,fetcher_attrs
claimweb/__init__.py,25,Package init; Decimal precision setup,(none),(none),decimal,(none),
claimweb/abm/__init__.py,19,ABM subpackage docstring stub,(none),(none),(none),(none),
claimweb/abm/agents/__init__.py,1,Agents subpackage stub,(none),(none),(none),(none),
claimweb/abm/calibration.py,16,ABM calibration docstring stub,(none),(none),(none),(none),
claimweb/abm/scenarios.py,16,ABM scenarios docstring stub,(none),(none),(none),(none),
claimweb/abm/simulator.py,19,ABM simulator docstring stub (Bookstaber-Paddrik-Tivnan),(none),(none),(none),(none),
claimweb/api/__init__.py,12,API subpackage stub,(none),(none),(none),(none),
claimweb/cascade/__init__.py,18,Cascade subpackage docstring,(none),(none),(none),(none),
claimweb/cascade/contingent.py,16,Banerjee-Feinstein contingent payments stub,(none),(none),(none),(none),
claimweb/cascade/debtrank.py,16,Battiston DebtRank stub,(none),(none),(none),(none),
claimweb/cascade/eisenberg_noe.py,25,Eisenberg-Noe clearing-vector stub,(none),(none),(none),(none),
claimweb/cascade/fire_sale.py,23,Cont-Schaanning fire-sale stub,(none),(none),(none),(none),
claimweb/cascade/multi_constraint.py,17,Coen-Lepore-Schaanning multi-constraint stub,(none),(none),(none),(none),
claimweb/constraints/__init__.py,22,Constraints subpackage docstring,(none),(none),(none),(none),
claimweb/constraints/compile.py,337,Assembles all four laws into sparse linear system,"LawStats, CompiledSystem, compile_constraints",constraints.{kcl|double_entry|sectoral|flow_funds},(none),(none),
claimweb/constraints/double_entry.py,319,Law 2 build and check,"DoubleEntryViolation, DoubleEntryResult, build_double_entry_rows, check_double_entry, InstrumentTotals",constraints.kcl (shared types),decimal,(none),
claimweb/constraints/flow_funds.py,421,Law 4 build and check,"FlowKey, FlowTerms, RevaluationTerms, FlowFundsViolation, FlowFundsResult, build_flow_funds_rows, check_flow_funds",constraints.kcl,decimal,(none),
claimweb/constraints/kcl.py,444,Law 1 build and check; shared types,"ArcKey, LinearConstraint, ConstraintSet, NodeBalance, NetworkState, KCLViolation, KCLResult, build_kcl_rows, check_kcl","fetchers.base (ArcClass, DataQualityFlag)",decimal,(none),
claimweb/constraints/prior.py,13,Soft entity-type-compatibility regularizer stub,(none),(none),(none),(none),
claimweb/constraints/sectoral.py,384,Law 3 build and check,"SectorMap, SectoralTotals, SectoralViolation, SectoralResult, build_sectoral_rows, check_sectoral",constraints.kcl,decimal,(none),
