path,research_state_label,justification,inbound_imports,outbound_side_effects
claimweb/__init__.py,LIVE-LOAD-BEARING,Sets Decimal precision globally per .claude/rules/decimal-arithmetic.md; required for all dollar arithmetic to be Decimal-correct,"every claimweb module",sets decimal.getcontext
claimweb/fetchers/base.py,LIVE-LOAD-BEARING,Defines ArcFact + DataQualityFlag + BaseFetcher ABC; every fetcher and every downstream constraint module depends on these types,"every concrete fetcher; every test; many constraint modules",none (pure types)
claimweb/fetchers/fhlb_combined.py,LIVE-PARSING-COMPLETE,Real URL validated by subagent during PR #3; parses fixture cleanly with 35 tests; can plausibly be promoted to LIVE-LOAD-BEARING after live-data validation,test_fhlb_combined; fetchers.__init__,httpx GET; PDF parse; filesystem cache write
claimweb/fetchers/frb_efa_fabs.py,LIVE-PARSING-COMPLETE,Real URL; subagent validated FABCP-quarterly-only edge case; 77 tests pass on fixture,test_frb_efa_fabs; fetchers.__init__,httpx GET; CSV parse; filesystem cache write
claimweb/fetchers/naic_schedule_d.py,LIVE-PARSING-PLACEHOLDER-ACQUISITION,Iowa IID and NAIC CIS URLs are placeholders per CHANGELOG L122-123; parses fixture cleanly with 146 tests; cannot fetch from live NAIC source without rework,test_naic_schedule_d; fetchers.__init__,httpx GET (against placeholder URLs); CSV parse; filesystem cache write; registry write
claimweb/fetchers/naic_schedule_s.py,LIVE-PARSING-PLACEHOLDER-ACQUISITION,Same as schedule_d. Subagent ran out of turns; URLs are documentation-derived approximations. **Notable: arc direction matches kcl.py convention (Reading A); the OTHER 9 fetchers do not.**,test_naic_schedule_s; fetchers.__init__,httpx GET (against placeholder URLs); CSV parse; filesystem cache write; registry write
claimweb/fetchers/sec_13f.py,LIVE-PARSING-UNVERIFIED,EDGAR URLs are real (data.sec.gov/submissions/...); subagent could not reach EDGAR from sandbox; 114 tests pass on fixture; **arc-direction follows Reading B — disagrees with kcl.py**,test_sec_13f; fetchers.__init__,httpx GET (real SEC endpoints); XML parse; filesystem cache write; registry write
claimweb/fetchers/sec_adv.py,LIVE-PARSING-UNVERIFIED,IAPD URLs real; subagent ran out of turns; 96 tests on fixture; G3 ownership-arc direction question pending (Phase 3c.2),test_sec_adv; fetchers.__init__,httpx GET; ZIP extract; CSV parse; filesystem cache
claimweb/fetchers/sec_nmfp.py,LIVE-PARSING-UNVERIFIED,EDGAR EFTS + submissions URLs real; subagent unable to fetch due to network restrictions; 125 tests on fixture; **arc-direction Reading B**,test_sec_nmfp; fetchers.__init__,httpx GET; XML parse; filesystem cache
claimweb/fetchers/sec_xbrl.py,LIVE-PARSING-COMPLETE,companyfacts URL well-established; no live-data flag raised in CHANGELOG; 66 tests on MetLife fixture; **arc-direction Reading B**,test_sec_xbrl; fetchers.__init__,httpx GET; JSON parse; filesystem cache
claimweb/fetchers/z1.py,LIVE-PARSING-COMPLETE,FRB DDP URL well-established; 56 tests on 7-table fixture set; **arc-direction Reading B**,test_z1; fetchers.__init__,httpx GET; CSV parse; filesystem cache
claimweb/constraints/kcl.py,LIVE-LOAD-BEARING,"Defines ArcKey, LinearConstraint, ConstraintSet, NetworkState, NodeBalance shared types; implements Law 1 + uses Reading A (src=holder) convention",test_kcl; double_entry; flow_funds; sectoral; compile,none
claimweb/constraints/double_entry.py,LIVE-LOAD-BEARING,Law 2 build/check; convention-agnostic (instrument-level conservation),test_double_entry; compile,none
claimweb/constraints/sectoral.py,LIVE-LOAD-BEARING,Law 3 build/check; uses Reading A convention (sums outgoing arcs from sector nodes = sector assets),test_sectoral; compile,none
claimweb/constraints/flow_funds.py,LIVE-LOAD-BEARING,Law 4 build/check; cross-period; convention-agnostic on direction (uses ArcKey identity across periods),test_flow_funds; compile,none
claimweb/constraints/compile.py,LIVE-LOAD-BEARING,Assembles all four laws into CompiledSystem consumed by reconstruct.solver,test_compile; (will be used by reconstruct.solver),none
claimweb/constraints/prior.py,STUB-WAITING-IMPLEMENTATION,13-LOC docstring stub; planned Phase 1 work for soft constraints; not blocking any current criterion,none yet,none
claimweb/reconstruct/max_entropy.py,STUB-WAITING-IMPLEMENTATION,21-LOC stub; TODO.md Now item; blocked on literature-checker spawn,none yet,none
claimweb/reconstruct/min_density.py,STUB-WAITING-IMPLEMENTATION,18-LOC stub; PHASE_GATES.md L29 deliverable,none yet,none
claimweb/reconstruct/solver.py,STUB-WAITING-IMPLEMENTATION,20-LOC stub; bracketing harness; PHASE_GATES.md L30,none yet,none
