claim_id,source_doc,location,claim_text,verification_method,verification_result,verdict
C001,CHANGELOG.md,L74,"PR #17 SEC 13F: 114 unit tests (3 property-based); 1260 total pass","count def test_ in test_sec_13f.py; count @given","static count: 114 def test_; 3 @given; total def test_ across tests/unit = 1095","Partially confirmed: per-file counts match; 1260 total is plausible if parametrized tests counted at runtime"
C002,CHANGELOG.md,L65-68,"PR #17 EDGAR unreachable from sandbox; data-source-investigator confirmed approach from documentation only","read CHANGELOG entry","explicit admission in CHANGELOG","Placeholder-Disclosed: live-data acquisition unverified"
C003,CHANGELOG.md,L122-123,"NAIC Schedule D Iowa IID and NAIC CIS portal URLs are approximations used as placeholders","read CHANGELOG entry","explicit admission in CHANGELOG","Placeholder-Disclosed: cannot acquire from live sources"
C004,CHANGELOG.md,L126-134,"2025 schema break (SSAP 43R): Schedule D splits into Section 1 and Section 2 starting with 2024 year-end filings; parser versioning is future work","read CHANGELOG; grep _classify_security for year branching","CHANGELOG explicit; code _classify_security does not dispatch on year","Confirmed: known edge case acknowledged but no dispatch logic"
C005,CHANGELOG.md,L142,"naic_schedule_d.py is 887 lines","wc -l claimweb/fetchers/naic_schedule_d.py","1000 lines","Contradicted: file is 1000 lines (claim of 887 is undercount; either CHANGELOG stale or post-add bytes uncounted)"
C006,CHANGELOG.md,L206,"naic_schedule_s.py is 886 lines","wc -l claimweb/fetchers/naic_schedule_s.py","888 lines","Partially confirmed: within 2 lines"
C007,CHANGELOG.md,L210-214,"data-source-investigator agent ran out of turns before producing its final characterization report; implementation proceeded from project plan §10.3","read CHANGELOG entry","explicit admission","Confirmed: subagent failure documented"
C008,CHANGELOG.md,L283-292,"PR #13 SEC ADV data-source-investigator launched but ran out of turns","read CHANGELOG entry","explicit admission","Confirmed: subagent failure documented"
C009,CHANGELOG.md,L353-355,"PR #12 SEC NMFP data-source-investigator unable to fetch live EDGAR data due to network restrictions","read CHANGELOG entry","explicit admission","Confirmed: subagent network failure documented"
C010,CHANGELOG.md,L51-52,"sec_13f arc direction: source=corp:cusip issuer, target=aam:cik holder; issuer→holder per project plan §1","grep ArcFact( in sec_13f.py; read code at L312-333","code line 312-333 confirms source_node_id=corp issuer, target=aam holder","Confirmed: consistent with project plan §1.1"
C011,CHANGELOG.md,L104-108,"naic_schedule_d arc direction: source=bond issuer, target=insurer holder; issuer→holder per project plan §1","grep ArcFact in naic_schedule_d.py L729-732","code confirms source=issuer, target=insurer holder","Confirmed: consistent with project plan §1.1"
C012,CHANGELOG.md,L172-174,"naic_schedule_s arc direction: source=U.S. cedent, target=reinsurer","grep ArcFact in naic_schedule_s.py L648-651","code confirms source=cedent_node, target=reins_node","Contradicted by project plan §1.1: cedent holds the recoverable (i, holder); reinsurer issued the obligation (j); §1.1 says arc edge from j to i — so source should be reinsurer, target should be cedent. PR #14 inverts. METHODOLOGICAL DEFECT."
C013,CHANGELOG.md,L74,"After PR #17: 1260 total tests pass","count def test_ across tests/unit","1095 def test_ functions","Partially confirmed: ~165 delta likely from pytest parametrization at runtime; unverifiable without execution"
C014,docs/PHASE_GATES.md,L17-33,"17 Phase 1 gate criteria; every checkbox is [ ] (open)","read PHASE_GATES.md","every Phase 1 box unchecked despite PRs #1-17 having merged","Contradicted: PHASE_GATES.md is stale — does not reflect closed work"
C015,TODO.md,L69,"sec_13f commit hash: 5c2de41","git log --oneline","actual squash-merge commit on main: f253980","Partially confirmed: 5c2de41 is the branch-side commit (pre-merge); f253980 is the actual merge commit on main"
C016,TODO.md,L70,"naic_schedule_d commit: c8a3c14","git log","actual on main: 00204b0","Same pattern as C015"
C017,TODO.md,L71,"naic_schedule_s commit: 300265a","git log","actual on main: ce89ed6","Same pattern"
C018,README.md,L67-71,"Repository structure includes claimweb/fetchers, claimweb/reconstruct, claimweb/cascade","ls claimweb/","all three subpackages exist","Confirmed"
C019,CLAUDE.md,"§standing rules","Both reconstruction methods run, with bracket reported per arc","read claimweb/reconstruct/*.py","all four reconstruct modules are 14-21 LOC docstring-only stubs","Unverifiable yet: stubs only; no implementation","Verdict: Open"
C020,CLAUDE.md,"§standing rules","Historical validation gates deployment","read claimweb/validation/*.py","ep1/ep2/ep3 are 12-15 LOC docstring stubs","Open: scaffolded but no implementation"
C021,docs/PHASE_GATES.md,L33,"Methodology paper outline drafted in docs/METHODOLOGY.md (Phase 1 sections only)","ls docs/","docs/ has CLAIM_WEB_PROJECT_PLAN.md, PHASE_GATES.md, REGULATORY_ARBITRAGE.md only","Contradicted: METHODOLOGY.md does not exist"
C022,CHANGELOG.md,multiple,"Each conservation-law PR has 3-5 hypothesis property tests","grep -c @given tests/unit/test_<law>.py","kcl: 5; double_entry: 5; sectoral: 5; flow_funds: 6; compile: 5","Confirmed: all four laws have 5+ property tests"
C023,CHANGELOG.md,L74,"PR #17 sec_13f.py ≈400 lines","wc -l","749 lines","Contradicted: file is 749 lines (CHANGELOG claim is roughly half; either stale estimate or referring to a subset)"
C024,CHANGELOG.md,L143,"NAIC Schedule D fixture: 15 rows, 2 insurers, 3 arc types","read schedule_d_2024.csv","needs verification — fixture exists","To verify in Phase 1b"
C025,CHANGELOG.md,L196,"NAIC Schedule S fixture: 17 rows covering Athene, AmEq, F&G, Global Atlantic, Protective","read schedule_s_2024.csv","fixture exists","To verify in Phase 1b"
C026,docs/CLAIM_WEB_PROJECT_PLAN.md,§1.1 L36-50,"Arc weight x_ij^k on directed edge from issuer j to holder i","read project plan §1.1","explicit statement: edge from j (issuer) to i (holder); source=issuer, target=holder","Confirmed: this is the authoritative convention"
C027,docs/CLAIM_WEB_PROJECT_PLAN.md,§4 L309,"A6: Reinsurance treaties (offshore-cession). U.S. cedent transfers liability and underlying reserves to offshore reinsurer","read project plan §4","ambiguous prose: 'cedent transfers reserves to reinsurer' could be read as direction of value flow OR direction of arc","Stale/Ambiguous: §1.1 convention applied to A6 yields source=reinsurer; PR #14 ignored this"
C028,CHANGELOG.md,L835-836,"FHLB Combined arc direction: source=insurer borrower (liability side), target=fhlb:system (asset side), consistent with x_ij^k","read code","consistent","Confirmed: matches §1.1"
C029,CHANGELOG.md,L739-743,"Z.1 FHLB arc direction: source=life_insurance, target=fhlb (per test_z1.py)","read fhlb advance arc test","matches §1.1 (FHLB is holder/lender)","Confirmed"
C030,CHANGELOG.md,L932-942,"pyproject.toml has all §19 dependencies","read pyproject.toml","11 core + 7 acquisition deps; matches project plan §19","Confirmed"
C031,CHANGELOG.md,L946,"73 unit tests pass at bootstrap","count test_ in test_package_skeleton.py","3 def test_","Contradicted at static level: package_skeleton has only 3 tests; 73 was the runtime count of the bootstrap+base smoke tests at PR #1 time (pre-fetcher tests included)"
C032,TODO.md,L20,"Current Now: claimweb.reconstruct.max_entropy; before code, spawn literature-checker against Upper (2004)","read max_entropy.py","docstring stub; no implementation","Confirmed: stub state"
C033,CHANGELOG.md,L65,"sec_13f spawned data-source-investigator","read CHANGELOG","explicit","Confirmed but subagent failed to reach EDGAR"
C034,CHANGELOG.md,L120,"naic_schedule_d spawned data-source-investigator","read CHANGELOG","explicit","Confirmed; findings used"
C035,CHANGELOG.md,L210,"naic_schedule_s spawned data-source-investigator","read CHANGELOG","ran out of turns","Confirmed: subagent failure"
C036,CHANGELOG.md,L283,"sec_adv spawned data-source-investigator","read CHANGELOG","ran out of turns","Confirmed: subagent failure"
C037,CHANGELOG.md,L353,"sec_nmfp spawned data-source-investigator","read CHANGELOG","unable to fetch EDGAR","Confirmed: subagent network failure"
C038,CHANGELOG.md,L416,"frb_efa_fabs data-source-investigator","read CHANGELOG","produced findings","Confirmed: successful subagent run"
C039,CHANGELOG.md,L862-863,"fhlb_combined spawned data-source-investigator; confirmed URL pattern and PDF structure","read CHANGELOG","successful","Confirmed: successful subagent run"
C040,(no CHANGELOG entry),literature-checker subagent invocations,"Per fetcher-author skill: spawn literature-checker for constraint and reconstruction implementations","search CHANGELOG for 'literature-checker'","TODO.md Now item references spawning literature-checker for max_entropy; no CHANGELOG mention of successful run anywhere","Open: literature-checker has never produced a recorded artifact"
C041,(no CHANGELOG entry),documentation-curator subagent invocations,"Per CLAUDE.md: documentation-curator agent exists","search CHANGELOG for 'documentation-curator'","no CHANGELOG entry mentions this subagent","Confirmed (negative finding): documentation-curator never invoked"
C042,docs/CLAIM_WEB_PROJECT_PLAN.md,§18 layout,"claimweb/api, claimweb/multiplier, claimweb/normalize","ls -la","all three subpackages exist with __init__.py only (no application code)","Confirmed: scaffolding only"
C043,docs/CLAIM_WEB_PROJECT_PLAN.md,§3.2 I6,"AAM-cluster registry should include Apollo, Blackstone, KKR, Brookfield, Carlyle, BlackRock, Ares","grep _MANAGER_REGISTRY in sec_13f.py","CHANGELOG L34-36 says 7 PE-affiliated AAMs match the §3.2 list","Confirmed: PR #17 manager registry matches §3.2"
C044,CHANGELOG.md,multiple,"All fetchers emit ArcFact records with DataQualityFlag","grep ArcFact construction; check flag values","all checked fetchers pass DataQualityFlag enum value","Confirmed"
C045,pyproject.toml,L71-75,"integration pytest marker registered","read pyproject.toml","integration marker present","Confirmed"
C046,docs/CLAIM_WEB_PROJECT_PLAN.md,§10.3,"NAIC Schedule S is the data source for A6 arcs and T2 nodes","read project plan §10.3","explicit","Confirmed"
C047,docs/CLAIM_WEB_PROJECT_PLAN.md,§10.7,"SEC Form 13F provides intra-AAM-cluster public security cross-holdings","read project plan §10.7","explicit","Confirmed"
C048,CHANGELOG.md,L194,"Cedent registry: 8 companies (Athene/IA, AmEq/IA, F&G/IA, Global Atlantic/IN, Protective/TN, MetLife/NY, Prudential/NJ, Lincoln/IN)","grep _CEDENT_REGISTRY in naic_schedule_s.py","need to verify count","To verify Phase 2"
C049,CHANGELOG.md,L88-89,"naic_schedule_d insurer registry: 8 PE-affiliated and large US life insurers","grep _INSURER_REGISTRY in naic_schedule_d.py","need to verify count","To verify Phase 2"
C050,CHANGELOG.md,L40-44,"sec_13f writes unmapped issuers to claimweb/registry/unmapped/sec_13f_{period}.json","grep registry path; find directory","path Path('claimweb/registry/unmapped') at line 737; directory does not exist statically (created at runtime if/when fetcher runs against live data)","Confirmed: registry directory is runtime artifact"
